iter	RMSE
0	14.3665486
1	13.11045353
2	11.91930567
3	10.8366579
4	9.897763594
5	9.007715503
6	8.224020177
7	7.535381467
8	6.862367599
9	6.251084995
10	5.686068617
11	5.201161034
12	4.78110225
13	4.350288317
14	3.980597227
15	3.656155998
16	3.341769572
17	3.070824574
18	2.802477462
19	2.573304665
20	2.353278373
21	2.15290476
22	1.988595318
23	1.829819688
24	1.688879278
25	1.563533948
26	1.45122478
27	1.346345502
28	1.245944424
29	1.159110743
30	1.078841335
31	1.005602282
32	0.9399640953
33	0.877933412
34	0.8238275586
35	0.7755015166
36	0.7311612767
37	0.6904389723
38	0.6551271448
39	0.6237127147
40	0.5959076568
41	0.5710408733
42	0.5479678624
43	0.5224784275
44	0.5033211981
45	0.4822365676
46	0.4665667662
47	0.4515302204
48	0.4412358031
49	0.4288696427
50	0.4184216448
51	0.4068155184
52	0.3973878097
53	0.3883974894
54	0.3794489941
55	0.369346466
56	0.3614037237
57	0.3545547138
58	0.3495913676
59	0.3443295582
60	0.3388712545
61	0.3339366173
62	0.3325725756
63	0.3267187802
64	0.3208021464
65	0.3164912853
66	0.3129793079
67	0.3079729967
68	0.3067343547
69	0.3012613038
70	0.2976758104
71	0.2963428108
72	0.2932550448
73	0.2922807504
74	0.2882882025
75	0.2844529231
76	0.283378738
77	0.2823343247
78	0.2812699433
79	0.2761897595
80	0.2751282522
81	0.2740901495
82	0.2730825196
83	0.2721333273
84	0.2712340716
85	0.2681395667
86	0.267275562
87	0.2664021811
88	0.265579461
89	0.2647619674
90	0.2639710771
91	0.2632102014
92	0.2624775017
93	0.2596670213
94	0.2571244436
95	0.2563835444
96	0.2556852188
97	0.2526384049
98	0.2519585876
99	0.2487807352
100	0.2481208811
101	0.2474698793
102	0.2468303937
103	0.2449576712
104	0.2443361143
105	0.2437414487
106	0.2431541953
107	0.240006995
108	0.2369830428
109	0.236406999
110	0.232744705
111	0.2321895345
112	0.2316496405
113	0.2311182941
114	0.230605066
115	0.2300960394
116	0.2279691025
117	0.2274689377
118	0.2269731338
119	0.2264832479
120	0.2260050515
121	0.225529888
122	0.2237457038
123	0.2232730778
124	0.2228068626
125	0.2223469212
126	0.221892461
127	0.2214404028
128	0.2210000305
129	0.2205604292
130	0.2201269839
131	0.2197009876
132	0.2179825129
133	0.217557757
134	0.2171367714
135	0.214738929
136	0.2143076095
137	0.2138917762
138	0.2134823756
139	0.2130768479
140	0.2126799008
141	0.2122866376
142	0.2118955152
143	0.2115114323
144	0.2111315225
145	0.2107537969
146	0.2088474255
147	0.2084690526
148	0.2080969257
149	0.2077314828
150	0.2073689845
151	0.2070096764
152	0.2066526648
153	0.2062980696
154	0.2041334491
155	0.2027649348
156	0.2024120228
157	0.2020612156
158	0.2017169245
159	0.2013760078
160	0.2010394924
161	0.200706988
162	0.2003790537
163	0.2000198176
164	0.1996947364
165	0.1993729683
166	0.1990528475
167	0.1987373417
168	0.1972244452
169	0.1969077913
170	0.1965937563
171	0.1962828019
172	0.1959751013
173	0.1956716062
174	0.1953693257
175	0.193860032
176	0.1935597501
177	0.193260301
178	0.1929657083
179	0.1926731971
180	0.1923830819
181	0.1920956785
182	0.1918112672
183	0.191496264
184	0.1912141556
185	0.1909340581
186	0.1891034887
187	0.1888241173
188	0.1885480022
189	0.1882739845
190	0.1879763184
191	0.1877075542
192	0.1874398245
193	0.1871761188
194	0.1869131792
195	0.1866537577
196	0.1863950348
197	0.1846754487
198	0.1844164616
199	0.184161764
200	0.1829036629
201	0.1826495647
202	0.1823730007
203	0.182123916
204	0.1803753709
205	0.1801201206
206	0.1798714863
207	0.1796253927
208	0.1793830508
209	0.1791423828
210	0.1788819774
211	0.1786466554
212	0.1784119439
213	0.1781783543
214	0.1779458007
215	0.1777148472
216	0.1761771749
217	0.1759396461
218	0.1757107352
219	0.1754146725
220	0.1751883665
221	0.1749640902
222	0.1747435834
223	0.1745250123
224	0.1733016733
225	0.173081431
226	0.1728621512
227	0.1726448407
228	0.1724308054
229	0.172197515
230	0.1719866006
231	0.1717762936
232	0.1703625333
233	0.1701474162
234	0.1699351696
235	0.1697252098
236	0.1694975242
237	0.1680901237
238	0.1663056862
239	0.1660978595
240	0.1658961748
241	0.1656987369
242	0.1655047457
243	0.1641085924
244	0.1639130096
245	0.1628321148
246	0.1626148491
247	0.1624231137
248	0.1622338941
249	0.1620468038
250	0.161802222
251	0.1605209332
252	0.1603307763
253	0.1601441853
254	0.1599600035
255	0.1597767558
256	0.1587782039
257	0.1585953319
258	0.1584141683
259	0.1582348034
260	0.1571858654
261	0.1570046312
262	0.1557971265
263	0.1556176006
264	0.1554408395
265	0.1552656054
266	0.1550904958
267	0.1549159517
268	0.1547258309
269	0.1545537022
270	0.1543834785
271	0.1542139531
272	0.1531988919
273	0.1530264788
274	0.1528564104
275	0.1517676124
276	0.1515977836
277	0.1514281209
278	0.151260347
279	0.151093255
280	0.1509271736
281	0.1507616582
282	0.1505976249
283	0.1494236098
284	0.1492570666
285	0.1490754262
286	0.1489131351
287	0.1487531629
288	0.1479268585
289	0.1477673354
290	0.1476084244
291	0.1474345268
292	0.1472772386
293	0.1471210281
294	0.1469661347
295	0.1460903429
296	0.1459345516
297	0.1457803641
298	0.1456272485
299	0.1454749895
