iter	Passed	Remaining
0	10	3259
1	22	3298
2	32	3248
3	44	3274
4	55	3295
5	66	3263
6	77	3229
7	86	3151
8	95	3075
9	104	3038
10	114	3000
11	123	2958
12	132	2932
13	142	2903
14	150	2857
15	160	2848
16	169	2820
17	179	2807
18	186	2756
19	194	2729
20	202	2688
21	212	2682
22	220	2653
23	228	2632
24	237	2612
25	246	2593
26	254	2573
27	263	2554
28	272	2543
29	281	2535
30	291	2530
31	301	2528
32	311	2520
33	321	2515
34	329	2496
35	338	2484
36	348	2475
37	356	2457
38	365	2445
39	374	2431
40	381	2408
41	390	2398
42	398	2384
43	409	2382
44	420	2382
45	429	2372
46	439	2366
47	449	2357
48	458	2348
49	468	2342
50	478	2337
51	489	2333
52	498	2324
53	508	2315
54	518	2308
55	528	2301
56	538	2296
57	548	2289
58	558	2280
59	568	2273
60	577	2264
61	587	2256
62	598	2250
63	608	2244
64	619	2237
65	628	2228
66	638	2219
67	648	2213
68	658	2205
69	669	2198
70	678	2189
71	689	2183
72	700	2178
73	711	2172
74	721	2165
75	733	2160
76	743	2153
77	754	2147
78	765	2141
79	777	2137
80	787	2129
81	798	2123
82	809	2117
83	821	2113
84	833	2108
85	844	2100
86	854	2093
87	866	2087
88	877	2081
89	888	2072
90	901	2069
91	913	2064
92	924	2058
93	936	2052
94	947	2045
95	959	2038
96	971	2032
97	984	2028
98	996	2023
99	1009	2018
100	1022	2014
101	1035	2010
102	1048	2005
103	1061	1999
104	1075	1997
105	1087	1990
106	1101	1986
107	1114	1981
108	1127	1975
109	1138	1966
110	1151	1961
111	1163	1953
112	1176	1947
113	1188	1938
114	1200	1931
115	1214	1925
116	1226	1918
117	1237	1908
118	1250	1902
119	1262	1894
120	1276	1888
121	1288	1880
122	1301	1872
123	1313	1864
124	1325	1855
125	1337	1846
126	1348	1836
127	1360	1827
128	1371	1817
129	1382	1807
130	1393	1798
131	1405	1788
132	1416	1778
133	1427	1768
134	1439	1758
135	1447	1746
136	1457	1734
137	1467	1722
138	1476	1709
139	1485	1697
140	1493	1684
141	1504	1673
142	1514	1663
143	1526	1653
144	1538	1644
145	1549	1634
146	1561	1625
147	1574	1616
148	1586	1607
149	1597	1597
150	1607	1586
151	1618	1576
152	1630	1566
153	1643	1557
154	1655	1548
155	1667	1539
156	1679	1529
157	1691	1520
158	1703	1510
159	1715	1501
160	1725	1490
161	1736	1479
162	1749	1470
163	1761	1460
164	1773	1451
165	1786	1442
166	1798	1432
167	1809	1421
168	1821	1412
169	1833	1401
170	1845	1392
171	1856	1381
172	1867	1370
173	1878	1360
174	1889	1349
175	1901	1339
176	1912	1329
177	1924	1319
178	1936	1308
179	1947	1298
180	1959	1288
181	1970	1277
182	1981	1266
183	1991	1255
184	2002	1245
185	2014	1234
186	2025	1224
187	2036	1213
188	2047	1202
189	2059	1192
190	2070	1181
191	2082	1171
192	2092	1160
193	2103	1149
194	2114	1138
195	2126	1128
196	2137	1117
197	2149	1107
198	2160	1096
199	2172	1086
200	2184	1076
201	2196	1065
202	2207	1054
203	2218	1043
204	2231	1034
205	2243	1023
206	2254	1013
207	2266	1002
208	2277	991
209	2289	981
210	2299	969
211	2309	958
212	2322	948
213	2334	938
214	2346	927
215	2357	916
216	2368	905
217	2380	895
218	2392	884
219	2403	874
220	2415	863
221	2427	852
222	2440	842
223	2452	831
224	2463	821
225	2475	810
226	2487	799
227	2498	788
228	2509	778
229	2520	767
230	2531	756
231	2544	745
232	2556	735
233	2568	724
234	2578	713
235	2588	702
236	2597	690
237	2606	679
238	2617	668
239	2628	657
240	2640	646
241	2652	635
242	2665	625
243	2676	614
244	2687	603
245	2698	592
246	2709	581
247	2720	570
248	2731	559
249	2744	548
250	2756	538
251	2768	527
252	2779	516
253	2790	505
254	2803	494
255	2815	483
256	2827	473
257	2839	462
258	2850	451
259	2862	440
260	2874	429
261	2885	418
262	2896	407
263	2908	396
264	2920	385
265	2933	374
266	2944	363
267	2957	353
268	2968	342
269	2979	331
270	2990	320
271	3003	309
272	3015	298
273	3027	287
274	3039	276
275	3051	265
276	3063	254
277	3074	243
278	3085	232
279	3095	221
280	3108	210
281	3121	199
282	3131	188
283	3142	177
284	3154	166
285	3165	154
286	3177	143
287	3188	132
288	3201	121
289	3213	110
290	3224	99
291	3236	88
292	3248	77
293	3259	66
294	3271	55
295	3284	44
296	3296	33
297	3307	22
298	3318	11
299	3330	0
